001:001-004	hak untuk allah, segala pujian hanya untuk allah yang memiliki kekuasaan yang sifat kemahaagungan
056:041-074	balasan bagi golongan kiri adalah azab neraka yang pedih mengerikan yang segala sesuatunya serba amat panas.
056:075-096	al-quran adalah bacaan yang sangat mulia dan tidak menyentuhnya kecuali orang-orang yang disucikan, janganlah menganggap remeh terhadap al-quran.
057:001-024	pada hakikatnya segala sesuatu itu milik allah maka janganlah merasa berat menafkahkan harta dan rezeki di jalan allah.
057:025-026	besi adalah karunia allah yang merupakan pokok kekuatan untuk membela agama allah dan untuk berbagai keperluan hidup.
057:027-027	dalam agama islam tidak ada rahbaniyyah (tidak beristri atau tidak bersuami dengan mengurung diri dalam biara).
057:028-028	perintah kepada orang-orang yang beriman agar bertakwa kepada allah
057:029-029	dan beriman kepada rasul agar mendapat rahmat, cahaya, dan karunianya.
058:001-006	zhihar (mengatakan istrinya seperti ibunya yang tidak boleh digauli) serta hukumnya dalam islam.
058:007-010	celaan allah terhadap perundingan rahasia yang bersifat memusuhi islam karena allah maha mengetahui dan tidaklah memberi mudarat kecuali dengan seizinnya.
058:011-013	sopan santun orang-orang beriman dalam menghadiri majelis nabi muhammad saw.
058:014-022	larangan berteman dengan orang-orang yang memusuhi islam dan berkasih sayang dengan orang-orang yang menentang allah dan rasulnya meskipun dari keluarga sendiri.
059:001-005	pengusiran terhadap orang-orang yahudi bani nadhir dan allah menjadikan rasa ketakutan ke dalam hati mereka.
059:006-010	fai-i (harta rampasan yang diperoleh dari musuh tanpa terjadi peperangan) pembagiannya berbeda dengan ganimah (yang diperoleh setelah terjadinya pertempuran).
059:011-017	orang-orang munafik tidak menepati janjinya kepada orang kafir ahli kitab (orang yahudi) untuk ikut keluar bersama, dan mereka itu adalah pendusta.
059:018-020	peringatan allah kepada orang-orang beriman agar introspeksi, memerhatikan apa-apa yang telah diperbuatnya untuk kebaikan hari esok (masa depan dan hari kiamat).
059:021-021	kalau sekiranya al-quran itu diturunkan kepada sebuah gunung, pasti gunung itu akan tunduk terpecah belah disebabkan takut kepada allah.
059:022-024	beberapa asmaul husna; dan segala apa yang di langit dan di bumi bertasbih kepada allah.
060:001-006	larangan menjadikan orang-orang yang memusuhi allah dan rasulnya sebagai wali atau teman setia; dan perintah untuk berhati-hati terhadap mereka itu, seperti yang dilakukan oleh nabi ibrahim.
060:007-009	tidak ada larangan terhadap orang-orang islam untuk berbuat baik dan berlaku adil kepada orang-orang kafir yang tidak memusuhi islam dan tidak mengusir orang islam dari negerinya sendiri.
060:010-013	beberapa sikap dan perlakuan yang harus diambil terhadap orang-orang wanita yang berhijrah dan masuk ke daerah islam serta wanita-wanita beriman yang berbaiat (berjanji setia).
061:001-003	perintah allah kepada orang-orang beriman agar tidak hanya pandai berbicara tetapi juga mengamalkan apa-apa yang dikatakannya.
061:004-009	keharusan umat islam untuk mempertahankan agamanya dalam barisan yang teratur, jamah yang raih, seperti suatu bangunan yang kukuh.
061:010-014	kemenangan umat islam dapat diperoleh hanya dengan pengorbanan, berjihad di jalan allah dengan harta dan jiwa; menjadi diri sebagai penolong-penolong setia agama allah.
062:001-004	diutusnya nabi muhammad saw oleh allah merupakan karunia yang besar kepada umat manusia seluruhnya.
062:005-008	peringatan allah kepada umat islam agar tidak seperti orang-orang yahudi yang tidak mengamalkan isi kitab sucinya.
062:009-011	beberapa hukum dan tindakan yang harus dilakukan sebelum dan sesudah melakukan salat jumat oleh orang-orang yang beriman.
063:001-008	orang-orang munafik mempunyai sifat-sifat perkataannya dusta, menghalangi manusia dari jalan allah dengan sumpahnya, meskipun tubuhnya kuat tetapi tidak mempunyai kekuatan sama sekali seperti kayu yang tersandar.
063:009-011	peringatan allah kepada orang-orang mukmin agar tidak terlalaikan oleh harta dan anaknya untuk mengingat allah; juga untuk menyedekahkan hartanya sebelum datangnya kematian karena allah tidak akan menangguhkan kematian seseorang.
064:001-004	bertasbih kepada allah apa yang ada di langit dan di bumi; allah yang menciptakan langit dan bumi serta membentuk rupa dan membaguskannya; allah mengetahui segala sesuatu.
064:005-010	pada hari kiat kesalahan-kesalahan orang kafir akan ditampakkan oleh allah, sedangkan kesalahan-kesalahan orang beriman dan beramal saleh akan ditutupi.
064:011-013	barang siapa yang beriman kepada allah maka akan diberi petunjuk kepada hatinya; barang siapa berpaling maka tugas rasul dan dai hanyalah menyampaikan amanah allah dengan terang.
064:014-018	orang-orang yang beriman hendaknya berhati-hati terhadap kehidupan dunia yang dapat menjerumuskan ke dalam perbuatan yang tidak dibenarkan agama; hendaklah bertakwa menurut kesanggupan dan menafkahkan harta yang dicintainya.
065:001-007	beberapa ketentuan tentang thalaq (perceraian) dan iddah (masa tunggu wanita untuk boleh menikah lagi setelah dicerai atau ditinggal mati suaminya) dalam hukum islam.
065:008-012	telah banyak penduduk suatu negeri yang dibinasakan oleh allah karena mendurhakai peringatan allah dan rasul-rasulnya; dan diutusnya nabi muhammad untuk membacakan ayat-ayat yang membawa kepada kehidupan yang baik.
066:001-006	beberapa tuntunan tentang hidup berumah tangga; perintah kepada orang-orang beriman untuk menjaga diri dan keluarga dari siksa neraka.
066:007-009	perintah kepada orang-orang yang beriman untuk bertaubat dan berjihad terhadap orang-orang kafir dan orang-orang munafik.
066:010-010	contoh-contoh istri yang tidak baik (istri nabi nuh dan nabi lut as, mereka kafir di bawah pengawasan orang beriman).
066:011-011	contoh istri yang baik (istri firaun, ia orang beriman di bawah pengawasan orang kafir yang zalim).
066:012-012	contoh wanita yang menjaga kehormatan dirinya (maryam putri imran, dia termasuk wanita yang taat kepada allah).
067:001-005	kekuasaan dan ilmu allah tergambar di alam semesta, dan tiada cacatnya langit diciptakannya.
067:006-011	orang-orang kafir akan memperoleh azab mereka yang pedih, mengerikan, bahkan neraka itu hampir-hampir pecah karena marah.
067:012-015	orang-orang yang takut kepada rabb mereka akan memperoleh ampunan dan pahala yang besar dari sisi allah.
067:016-030	ancaman allah terhadap orang-orang kafir dengan siksa neraka yang sangat pedih karena mendustakan kebenaran yang datang kepada mereka.
068:001-007	muhammad saw adalah orang yang berakhlak mulia, berbudi pekerti yang agung; bukan orang gila seperti tuduhan orang-orang kafir.
068:008-016	larangan menaati dan mengikuti orang-orang yang mendustakan kebenaran, banyak bersumpah, banyak mencela, dan menghambur fitnah.
068:017-033	allah telah menimpakan cobaan kepada orang-orang kafir seperti yang telah ditimpakan kepada pemilik-pemilik kebun.
068:034-045	orang-orang yang baik tidaklah sama dengan orang-orang yang berdosa, apalagi balasan bagi mereka sungguh jauh berbeda.
068:046-052	perintah allah kepada muhammad saw agar bersabar menghadapi umat dalam dakwah; dan al-quran itu tidak lain hanyalah peringatan bagi seluruh alam.
069:001-012	orang-orang yang mendustakan kebenaran dan mendurhakai para rasul pasti dibinasakan oleh allah karena tidak menggunakan akalnya.
069:013-017	peristiwa-peristiwa dahsyat yang terjadi pada hari kiamat mulai ditiupnya sangkakala yang pertama kalinya.
069:018-037	keadaan manusia saat hisab (perhitungan amal manusia), penyesalan orang-orang yang berdosa, dan balasan bagi masing-masing orang.
069:038-052	al-quran itu benar-benar wahyu allah yang diturunkan kepada rasul yang mulia, sebagai pelajaran bagi orang yang bertakwa, sebagai penyesalan bagi orang-orang kafir di akhirat.
070:001-018	azab allah pasti akan datang menimpa orang-orang kafir; para malaikat dan jibril naik menghadap allah dalam sehari yang kadarnya sama dengan 50.000 tahun perhitungan manusia.
070:019-035	beberapa sifat jelek manusia dan ajaran islam dalam mengatasinya agar menjadi manusia yang berakhlak mulia.
070:036-044	azab akan ditimpakan kepada orang-orang yang mendustakan allah dan rasulnya, mereka menenggelamkan diri dalam kebatilan.
071:001-004	seruan nabi nuh as kepada kaumnya untuk beribadah dan bertawakal kepada allah, serta taat kepadanya.
071:005-009	pengakuan nabi nuh as kepada allah tentang keingkaran kaumnya, meskipun ia telah menyeru dengan terang-terangan dan diam-diam.
071:010-024	berbagai penjelasan telah dilakukan nabi nuh as dalam seruannya tetapi mereka tetap mendustakannya.
071:025-028	allah menimpakan azab kepada mereka dengan ditenggelamkan dalam banjir, lalu mereka dimasukkan ke neraka di akhirat nanti, dan beberapa doa nabi nuh as.
072:001-005	islamnya jin setelah mendengarkan al-quran dan pengakuannya tentang keesaan dan kemahatinggian kebesaran allah.
072:006-010	para jin tidak mengetahui rahasia langit karena penuh dengan penjagaan yang kuat dan panah-panah api.
072:011-014	di antar para jin itu ada golongan yang saleh ada pula yang tidak, mereka menempuh jalan yang berbeda-beda.
072:015-017	balasan bagi jin yang menyimpang dari kebenaran dan yang berjalan di atas jalan yang benar.
072:018-019	para jin hampir saja desak-mendesak mengerumuni nabi muhammad saw tatkala beliau berdiri menyembah allah.
072:020-028	tugas rasul adalah menyampaikan peringatan allah dan risalahnya; dan allah memelihara wahyu yang diturunkan kepada nabi dengan penjagaan malaikat.
073:001-009	perintah untuk melakukan salat malam, membaca al-quran dengan tartil, berzikir menyebut asma allah.
073:010-019	beberapa petunjuk kepada nabi untuk bersabar dalam dakwah; serta peringatan dan azab allah terhadap orang-orang yang mendustakannya.
073:020-020	beberapa petunjuk bagi kaum muslimin agar memperoleh balasan yang paling baik dan pahala yang paling besar.
074:001-007	beberapa petunjuk dalam berdakwah; dengan cara ingat kepada allah, memulai pada dirinya sendiri, tidak mengharap balasan, dan sabar.
074:008-025	urusan allahlah orang-orang yang ingkar terhadap peringatan dan mendustakan rasul, sungguh mereka akan celaka.
074:026-037	neraka saqar adalah pembakar kulit manusia yang di atasnya ada sembilan belas malaikat penjaga.
074:038-056	golongan kanan yang bertempat di surga bertanya kepada para penghuni neraka saqar, apa yang menyebabkan mereka sampai masuk ke dalamnya.
075:001-015	allah berkuasa menghidupkan dan mengumpulkan manusia kembali; manusia akan menjadi saksi atas dirinya sendiri dan akan mendapat balasan apa-apa yang dikerjakan.
075:016-019	tertib susunan ayat-ayat dan surat-surat dalam al-quran menurut ketentuan allah dan telah dijelaskan oleh allah.
075:020-025	janganlah mencintai dunia dan meninggalkan akhirat; wajah-wajah orang-orang mukmin dan orang-orang kafir pada hari penghisaban.
075:026-035	keadaan orang-orang kafir yang mendustakan seruan kebenaran pada saat sakaratulmaut hendra meninggalkan dunia yang dicintainya.
075:036-040	allah menciptakan manusia melalui beberapa proses dan tingkatan, bukan dengan sia-sia tetapi akan dimintai pertanggungjawaban atas perbuatannya.
076:001-004	proses kejadian manusia dalam beberapa tingkat kejadian; manusia telah ditunjuki jalan yang lurus tetapi ada yang bersyukur dan ada pula yang kafir.
076:005-022	balasan allah terhadap orang-orang yang berbuat kebajikan dan yang pandai bersyukur serta tingkatan-tingkatan balasan bagi mereka.
076:023-031	al-quran diturunkan kepada nabi muhammad saw secara berangsur-angsur; tuntunan allah kepada muhammad untuk bersabar dalam berdakwah menghadapi orang-orang yang mendustakannya.
077:001-013	keadaan hari kiamat dan segala janji allah pasti akan terjadi, tinggal menunggu waktunya saja.
077:014-040	yaumul fashl (hari keputusan) adalah hari kecelakaan bagi orang-orang yang mendustakan para nabi dan rasul karena mereka diazab oleh allah.
077:041-050	pada hari keputusan itu orang-orang yang bertakwa mendapat balasan surga yang penuh kenikmatan, dan kecelakaan besar bagi orang-orang yang mendustakan yang tidak beriman terhadap al-quran.
078:001-016	allah berkuasa menciptakan alam semesta dengan berbagai keadaannya sebagai nikmat yang diberikan kepada manusia.
078:017-020	kedahsyatan peristiwa yaumul fashl (hari keputusan, hari kiamat).
078:021-030	balasan bagi orang-orang yang durhaka dan mendustakan adalah neraka jahannam.
078:031-037	balasan orang-orang yang bertakwa adalah kemenangan yang berupa surga penuh kenikmatan.
078:038-040	penyesalan bagi orang-orang kafir karena ketika hidup di dunia tidak menempuh jalan yang benar.
079:001-014	allah menegaskan terjadinya hari berbangkit itu dengan tiupan sangkakala kepada orang-orang musyrik yang mengingkarinya.
079:015-026	kisah nabi musa as dan pengingkaran firaun diceritakan allah untuk penghibur hati muhammad dan pelajaran bagi orang yang takut.
079:027-033	membangkitkan manusia sangatlah mudah bagi allah seperti halnya allah menciptakan alam semesta.
079:034-046	pada hari kiamat manusia akan teringat apa yang telah dikerjakannya tatkala di dunia; balasan bagi orang yang melampaui batas adalah neraka, sedangkan balasan bagi orang yang takut kebesaran allah adalah surga.
080:001-016	teguran allah kepada nabi muhammad saw agar tidak hanya memerhatikan orang-orang tertentu saja dalam berdakwah dengan mengabaikan orang yang hendak beriman.
080:017-032	peringatan allah kepada manusia yang tidak tahu hakikat dirinya, siapa yang menciptakan, bagaimana prosesnya, akan ke mana setelah mati, dan makanan apa saja yang telah dimakan.
080:033-037	pada hari ditiupnya sangkakala manusia lari dari saudaranya, bapaknya, ibunya, istrinya, anaknya; masing-masing orang disibukkan dengan urusan dirinya sendiri.
080:038-042	pada hari berhisab itu banyak manusia yang mukanya berseri-seri, tertawa dan gembira; dan banyak pula muka yang tertutup debu dan tertutup lagi oleh kegelapan.
081:001-006	peristiwa-peristiwa besar yang amat dahsyat pada hari kiamat terjadi di langit, bumi, dan seisinya.
081:007-014	setelah kejadian-kejadian besar itu akan diikuti dengan peristiwa dibangkitkannya manusia untuk mempertanggungjawabkan apa-apa yang pernah dikerjakannya.
081:015-029	al-quran adalah benar-benar firman allah yang dibawa turun oleh malaikat jibril; dam muhammad saw adalah seseorang yang tidak bakhil menerangkan hal-hal yang gaib.
082:001-002	peristiwa-peristiwa besar yang amat dahsyat pada hari kiamat terjadi di langit, bumi, dan seisinya.
082:003-008	setelah kejadian-kejadian besar itu manusia akan dibangkitkan dari kuburnya dan akan mengetahui apa yang telah dikerjakan dan apa yang telah dilupakan.
082:009-019	semua perbuatan manusia dicatat oleh malaikat dan manusia akan mendapatkan balasan yang seimbang yang pada hari itu, segala urusan dalam kekuasaan allah dan tidak ada seorang pun yang dapat menolong.
083:001-006	allah mengancam orang-orang yang curang dalam menakar atau menimbang.
083:007-017	orang-orang yang durhaka akan menerima sijjin dan mereka akan celaka, akan masuk neraka.
083:018-028	orang-orang yang berbakti akan menerima illiyyin dan mereka akan berada dalam surga.
083:029-036	orang-orang yang berdosa akan suka mengejek dan menertawakan orang-orang mukmin dan balas dan bagi mereka di akhirat.
084:001-009	orang-orang yang beriman akan menerima catatan amalnya dari sebelah kanan dan mereka akan menerima pemeriksaan yang mudah.
084:010-015	orang-orang yang durhaka akan menerima catatan amalnya dari belakang dan mereka akan dimasukkan ke dalam neraka.
084:016-025	manusia mengalami pose kehidupan tingkat demi tingkat, baik waktu dalam rahim, di dunia, maupun di akhirat nanti; dan masing-masing manusia akan diberi balasan di akhirat nanti.
085:001-022	orang-orang yang menentang nabi muhammad saw dan mendustakan al-quran akan mengalami kehancuran sebagaimana yang dialami oleh umat-umat terdahulu yang menentang rasul-rasul mereka, dan di akhirat azab yang membakar.
086:001-004	tiap-tiap jiwa atau diri manusia ada yang menjaganya.
086:005-010	allah maha kuasa menciptakan manusia dan kuasa juga untuk membangkitkannya.
086:011-017	al-quran adalah firman yang memisahkan antar yang hak dan yang batil; dan allah mempunyai rencana yang sebenar-benarnya.
087:001-007	perintah untuk bertasbih memuji allah yang maha tinggi.
087:008-013	allah akan memberi manusia taufik ke jalan yang mudah.
087:014-019	sesungguhnya beruntunglah orang yang membersihkan diri, berzikir kepada allah, lalu ia mendirikan salat.
088:001-007	penghuni-penghuni neraka pada hari pembalasan dalam keadaan tunduk terhina, dengan siksaan yang mengerikan.
088:008-016	penghuni-penghuni surga dalam keadaan yang berseri-seri dengan berbagai kenikmatan sebagai balasan usahanya.
088:017-026	anjuran untuk memerhatikan alam semesta untuk meningkatkan iman sehingga akan terhindar dari azab yang besar bagi orang-orang yang berpaling dan kafir.
089:001-014	allah bersumpah dengan waktu bahwa para penentang muhammad pasti akan hancur sebagaimana umat-umat terdahulu telah dibinasakan karena menentang rasul-rasul mereka.
089:015-020	kekayaan dan kemiskinan adalah ujian allah bagi hamba-hambanya, bagaimana sikap mereka terhadap harta dan terhadap fakir miskin, dan anak yatim.
089:021-026	penyesalan manusia di hari kiamat karena mereka tenggelam dalam kehidupan dunia dengan melupakan beramal saleh.
089:027-030	penghargaan allah terhadap orang-orang yang sempurna imannya untuk memasuki surga dengan hati puas lagi diridainya.
090:001-009	allah bersumpah dengan negeri yang aman bahwa manusia diciptakan dalam keadaan bersusah payah, untuk itu hidup manusia penuh dengan perjuangan.
090:010-020	banyak manusia yang tidak mau menempuh jalan mendaki lagi sukar serta tidak beriman kepada al-quran sehingga menyebabkan mereka masuk ke dalam neraka yang ditutup rapat.
091:001-008	allah bersumpah dengan apa-apa yang diciptakannya, bahwa jiwa manusia diilhami dua jalan, yaitu kefasikan dan ketakwaan.
091:009-010	beruntunglah orang-orang yang menyucikan jiwanya dan rugilah orang-orang yang mengotori jiwanya.
091:011-015	kisah kaum tsamud yang mengotori jiwanya dengan mendustakan nabi shaleh as sehingga mereka dibinasakan, lalu allah menyamaratakan mereka dengan tanah.
092:001-004	allah bersumpah dengan ciptaan-ciptaannya bahwa usaha manusia itu berbeda-beda.
092:005-011	orang yang bertakwa akan dimudahkan jalan hidupnya, sedangkan bagi orang-orang yang mendustakan akan dipersulit jalan hidupnya.
092:012-021	kewajiban allahlah memberi petunjuk, sedangkan kewajiban rasul / dai adalah memperingatkan manusia untuk mengikuti jalan allah.
093:001-008	allah bersumpah dengan waktu bahwa dia akan memberikan karunianya kepada nabi muhammad saw.
093:009-011	larangan berlaku sewenang-wenang terhadap anak yatim dan menghardik peminta-minta, serta perintah untuk mensyukuri nikmat allah.
094:001-004	allah telah memberikan pertolongannya dan telah meninggikan atau memuliakan nama muhammad.
094:005-008	perintah allah kepada nabi dan manusia agar terus berjuang dan berusaha dengan ikhlas dan tawakal karena sesungguhnya sesudah kesulitan itu ada kemudahan.
095:001-004	allah bersumpah dengan ciptaan-ciptaannya bahwa manusia diciptakan dalam bentuk yang sebaik-baiknya.
095:005-008	dan yang menjadikan pokok-pokok kemuliaan manusia adalah iman dan amal salehnya; jika tidak demikian maka akan dikembalikan ke tempat yang serendah-rendahnya (neraka).
096:001-005	membaca dan menulis adalah kunci ilmu pengetahuan; dengan itu pula allah mengajarkan manusia apa-apa yang tidak diketahuinya.
096:006-013	manusia menjadi jahat dan melampaui batas karena merasa dirinya serba cukup.
096:014-019	sesungguhnya allah melihat semua perbuatan manusia, maka janganlah mengikuti orang-orang yang melampaui batas dan hendaklah sujud mendekatkan diri kepada allah.
097:001-005	allah menurunkan al-quran pada lailatul qadar (malam kemuliaan) yang malam itu lebih baik daripada 1.000 bulan atau 83 tahun dan para malaikat turun untuk mengatur segala urusan, kesejahteraan malam itu hingga akhir fajar.
098:001-005	para ahli kitab dan orang-orang musyrik terpecah belah menghadapi nabi muhammad saw sedangkan ajaran yang dibawanya adalah wajar.
098:006-008	balasan bagi mereka yang tetap saja kafir adalah neraka jahannam dan balasan bagi mereka yang beriman dan beramal saleh adalah surga adn yang penuh dengan kenikmatan.
099:001-005	kedahsyatan kejadian pada hari kiamat sehingga manusia bertanya-tanya mengapa bumi jadi seperti itu.
099:006-008	setelah manusia dibangkitkan dari kuburnya akan dilihatnya balasan amal baik dan amal buruknya meskipun hanya sebesar zarah.
100:001-008	allah bersumpah dengan kuda perang yang berlari kencang dan kuda-kuda lainnya, bahwa manusia tidak berterima kasih, sangat kikir disebabkan cintanya terhadap harta.
100:009-011	maka apabila manusia telah dibangkitkan dari kubur, mereka akan mengetahui apa-apa yang dilahirkan dan apa-apa yang disembunyikan dalam dadanya, termasuk kebakhilan dan cintanya terhadap harta.
101:001-005	manusia dan gunung-gunung pada saat hari kiamat dalam keadaan berhamburan.
101:006-011	tempat kembali orang-orang yang berat timbangan amal baiknya adalah surga, sedangkan tempat kembali orang-orang yang ringan timbangan amal baiknya adalah neraka hawiyah.
102:001-008	ancaman allah terhadap orang-orang yang hidup bermegah-megahan dan melalaikan diri akan kehidupan akhirat.
103:001-003	amat merugilah orang-orang yang tidak memanfaatkan waktunya untuk beriman dan beramal saleh, serta saling menasihati sesama manusia.
104:001-009	neraka huthamah adalah balasan bagi orang-orang yang suka mengumpat, mencela, menimbun harta yang tidak dinafkahkan di jalan allah.
105:001-005	tentara bergajah yang dipimpin oleh abrahah yang hendak menghancurkan kabah diazab oleh allah dengan dikirimkannya ababil yang melempari mereka dengan batu dari tanah yang terbakar, sehingga mereka menjadi seperti daun-daun yang dimakan ulat.
106:001-004	kemakmuran dan ketenteraman seharusnya menjadikan orang-orang quraisy khususnya, dan manusia pada umumnya, semakin taat beribadah dan berbakti kepada allah.
107:001-007	pendusta agama adalah orang-orang yang menghardik anak yatim, tidak menolong orang miskin, ibadahnya riya, enggan menolong dengan barang berguna.
108:001-003	salat dan berkorban adalah tanda bersyukur terhadap nikmat allah dan orang-orang yang membenci rasul adalah orang-orang yang terputus dari rahmat allah.
109:001-006	dalam hal keimanan dan peribadatan tidak ada toleransi, dipersilakan kepada pemeluknya masing-masing.
110:001-003	apabila telah datang pertolongan allah dan kemenangan maka hendaklah bertasbih dengan memuji allah dan memintakan ampun bagi mereka kepadanya.
111:001-005	abu lahab dan istrinya serta para tukang fitnah pasti akan dimasukkan ke dalam al-lahab (api yang bergejolak).
112:001-004	allah adalah maha esa, tempat bergantungnya segala sesuatu, tidak beranak, tidak beribu, tidak ada sesuatu pun yang setara dengan dia.
113:001-005	anjuran untuk berlindung kepada allah dari kejahatan makhluknya, kejahatan malam, kejahatan tukang sihir, kejahatan orang yang dengki.
114:001-006	anjuran untuk berlindung kepada allah dari kejahatan bisikan-bisikan setan, baik dari jenis jin maupun jenis manusia, yang biasa bersembunyi di hati manusia.
